,Time of Measurement,Weight(lb),BMI,Body Fat(%),Body Type,Fat-free Body Weight(lb),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(lb),Muscle storage ability level,Bone Mass(lb),Protein(%),BMR(kcal),Metabolic Age
274,February 8， 2020 at 6:01:56 AM,164.2,24.3,13.6,Normal,141.8,11.6,7.0,62.4,55.8,134.8,,7.0,19.7,1759.0,50.0
275,February 7， 2020 at 7:01:20 AM,162.0,24.0,13.4,Normal,140.4,11.4,6.0,62.5,55.9,133.4,,7.0,19.7,1744.0,49.0
276,February 6， 2020 at 7:17:14 AM,162.4,24.0,13.4,Normal,140.6,11.4,6.0,62.5,55.9,133.6,,7.0,19.7,1747.0,50.0
277,February 5， 2020 at 5:40:37 AM,164.2,24.3,13.7,Normal,141.8,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1759.0,50.0
278,February 4， 2020 at 5:58:36 AM,163.6,24.2,13.6,Normal,141.4,11.5,7.0,62.4,55.8,134.4,,7.0,19.7,1755.0,50.0
279,January 31， 2020 at 6:32:06 AM,169.0,25.0,14.2,Normal,145.0,12.0,7.0,62.0,55.4,137.8,,7.2,19.6,1791.0,51.0
280,January 30， 2020 at 6:55:01 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1761.0,50.0
281,January 29， 2020 at 5:46:07 AM,166.4,24.7,13.9,Normal,143.4,11.8,7.0,62.2,55.6,136.2,,7.2,19.6,1774.0,50.0
282,January 28， 2020 at 7:16:17 AM,164.8,24.4,13.7,Normal,142.2,11.6,7.0,62.3,55.7,135.0,,7.2,19.7,1763.0,50.0
283,January 24， 2020 at 6:38:09 AM,165.4,24.5,13.8,Normal,142.6,11.7,7.0,62.3,55.7,135.4,,7.2,19.7,1767.0,50.0
284,January 23， 2020 at 7:10:42 AM,164.2,24.3,13.6,Normal,141.8,11.6,7.0,62.4,55.8,134.8,,7.0,19.7,1759.0,50.0
285,January 22， 2020 at 7:05:28 AM,165.6,24.5,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1768.0,50.0
286,January 21， 2020 at 7:09:16 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1758.0,50.0
287,January 17， 2020 at 6:06:27 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1757.0,50.0
288,January 16， 2020 at 7:07:02 AM,162.6,24.1,13.5,Normal,140.8,11.5,6.0,62.5,55.9,133.6,,7.0,19.7,1748.0,50.0
289,January 15， 2020 at 6:08:59 AM,164.6,24.4,13.7,Normal,142.2,11.6,7.0,62.3,55.7,135.0,,7.0,19.7,1762.0,50.0
290,January 14， 2020 at 6:26:47 AM,164.6,24.4,13.7,Normal,142.2,11.6,7.0,62.3,55.7,135.0,,7.0,19.7,1762.0,50.0
291,January 10， 2020 at 7:04:45 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1758.0,50.0
292,January 10， 2020 at 7:04:18 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1758.0,50.0
293,January 10， 2020 at 7:04:18 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1758.0,50.0
294,January 9， 2020 at 7:28:47 AM,164.2,24.3,13.6,Normal,141.8,11.6,7.0,62.4,55.8,134.8,,7.0,19.7,1759.0,50.0
295,January 8， 2020 at 6:36:52 AM,165.6,24.5,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1769.0,50.0
296,January 7， 2020 at 6:18:49 AM,165.6,24.5,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1769.0,50.0
297,January 6， 2020 at 6:41:13 AM,167.2,24.8,14.0,Normal,143.8,11.8,7.0,62.1,55.6,136.6,,7.2,19.6,1779.0,50.0
298,January 6， 2020 at 6:40:42 AM,167.2,24.8,14.0,Normal,143.8,11.8,7.0,62.1,55.6,136.6,,7.2,19.6,1779.0,50.0
299,January 5， 2020 at 4:07:53 PM,168.8,25.0,14.2,Normal,145.0,12.0,7.0,62.0,55.4,137.6,,7.2,19.6,1790.0,51.0
300,January 5， 2020 at 4:07:34 PM,172.8,25.6,14.6,Muscular,147.6,12.3,8.0,61.6,55.2,140.2,,7.4,19.5,1815.0,51.0
301,January 5， 2020 at 4:06:27 PM,172.8,25.6,14.6,Muscular,147.6,12.3,8.0,61.6,55.2,140.2,,7.4,19.5,1815.0,51.0
