,Time of Measurement,Weight(lb),BMI,Body Fat(%),Body Type,Fat-free Body Weight(lb),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(lb),Muscle storage ability level,Bone Mass(lb),Protein(%),BMR(kcal),Metabolic Age
152,January 26， 2021 at 7:20:47 AM,168.6,25.0,14.2,Normal,144.6,12.0,7.0,62.0,55.4,137.4,,7.2,19.6,1787.0,52.0
153,January 19， 2021 at 7:15:07 AM,167.6,24.8,14.0,Normal,144.2,11.9,7.0,62.1,55.5,137.0,,7.2,19.6,1781.0,51.0
154,January 12， 2021 at 7:22:50 AM,165.8,24.6,13.9,Normal,142.8,11.8,7.0,62.2,55.6,135.6,,7.2,19.6,1769.0,52.0
155,January 11， 2021 at 7:37:07 AM,166.0,24.6,13.9,Normal,143.0,11.8,7.0,62.2,55.6,135.8,,7.2,19.6,1770.0,51.0
156,January 10， 2021 at 7:45:35 AM,166.6,24.7,13.9,Normal,143.4,11.8,7.0,62.1,55.6,136.2,,7.2,19.6,1774.0,51.0
157,January 9， 2021 at 8:00:34 AM,167.8,24.8,14.1,Normal,144.2,11.9,7.0,62.0,55.5,137.0,,7.2,19.6,1782.0,52.0
158,January 6， 2021 at 7:11:48 AM,166.2,24.6,13.9,Normal,143.0,11.8,7.0,62.2,55.6,135.8,,7.2,19.6,1771.0,51.0
159,January 4， 2021 at 7:05:46 AM,166.8,24.7,13.9,Normal,143.6,11.8,7.0,62.1,55.6,136.4,,7.2,19.6,1776.0,51.0
160,December 22， 2020 at 6:20:14 AM,168.2,24.9,14.2,Normal,144.4,12.0,7.0,62.0,55.5,137.2,,7.2,19.6,1784.0,52.0
161,December 20， 2020 at 8:39:58 AM,167.4,24.8,14.0,Normal,143.8,11.9,7.0,62.1,55.5,136.6,,7.2,19.6,1779.0,51.0
162,December 18， 2020 at 7:21:20 AM,167.2,24.8,14.0,Normal,143.8,11.8,7.0,62.1,55.6,136.6,,7.2,19.6,1779.0,51.0
163,December 17， 2020 at 7:24:59 AM,168.4,24.9,14.1,Normal,144.6,11.9,7.0,62.0,55.5,137.4,,7.2,19.6,1785.0,51.0
164,December 16， 2020 at 7:27:00 AM,169.8,25.2,14.3,Muscular,145.6,12.1,7.0,61.9,55.4,138.2,,7.2,19.5,1796.0,52.0
165,December 16， 2020 at 7:26:16 AM,169.8,25.2,14.3,Muscular,145.6,12.1,7.0,61.9,55.4,138.2,,7.2,19.5,1796.0,52.0
166,December 14， 2020 at 7:16:49 AM,172.2,25.5,14.6,Muscular,147.2,12.3,8.0,61.7,55.2,139.8,,7.2,19.5,1811.0,52.0
167,December 11， 2020 at 7:16:03 AM,170.0,25.2,14.3,Muscular,145.6,12.1,7.0,61.8,55.3,138.4,,7.2,19.5,1797.0,52.0
168,December 11， 2020 at 7:12:13 AM,170.0,25.2,14.3,Muscular,145.6,12.1,7.0,61.8,55.3,138.4,,7.2,19.5,1797.0,52.0
169,December 10， 2020 at 7:18:44 AM,171.2,25.4,14.5,Muscular,146.6,12.2,8.0,61.8,55.3,139.2,,7.2,19.5,1805.0,52.0
170,December 9， 2020 at 7:12:22 AM,170.2,25.2,14.3,Muscular,145.8,12.1,7.0,61.8,55.3,138.4,,7.2,19.5,1798.0,52.0
171,December 8， 2020 at 7:49:24 AM,170.4,25.2,14.4,Muscular,146.0,12.1,8.0,61.8,55.3,138.6,,7.2,19.5,1799.0,52.0
172,December 7， 2020 at 7:15:16 AM,170.2,25.2,14.3,Muscular,145.8,12.1,7.0,61.8,55.3,138.4,,7.2,19.5,1798.0,52.0
173,December 6， 2020 at 10:37:10 AM,168.8,25.0,14.2,Normal,145.0,12.0,7.0,62.0,55.4,137.6,,7.2,19.6,1789.0,52.0
174,December 4， 2020 at 7:09:42 AM,169.0,25.0,14.2,Normal,145.0,12.0,7.0,61.9,55.4,137.8,,7.2,19.6,1790.0,52.0
175,December 4， 2020 at 7:09:27 AM,169.0,25.0,,,,,,,,,,,,,
176,December 4， 2020 at 6:47:44 AM,169.4,25.1,14.2,Muscular,145.2,12.0,7.0,61.9,55.4,138.0,,7.2,19.5,1792.0,52.0
177,December 3， 2020 at 7:10:37 AM,169.6,25.1,14.3,Muscular,145.4,12.0,7.0,61.9,55.4,138.2,,7.2,19.5,1794.0,52.0
178,December 2， 2020 at 6:48:51 AM,170.0,25.2,14.3,Muscular,145.6,12.1,7.0,61.8,55.3,138.4,,7.2,19.5,1797.0,52.0
179,December 1， 2020 at 6:35:33 AM,172.2,25.5,14.6,Muscular,147.2,12.3,8.0,61.7,55.2,139.8,,7.2,19.5,1811.0,52.0
180,November 30， 2020 at 6:54:37 AM,170.8,25.3,14.4,Muscular,146.2,12.1,8.0,61.8,55.3,138.8,,7.2,19.5,1801.0,52.0
181,November 18， 2020 at 6:53:24 AM,169.8,25.2,14.3,Muscular,145.6,12.1,7.0,61.9,55.4,138.2,,7.2,19.5,1796.0,52.0
182,November 3， 2020 at 7:11:18 AM,167.8,24.8,14.1,Normal,144.2,11.9,7.0,62.0,55.5,137.0,,7.2,19.6,1782.0,51.0
183,November 1， 2020 at 9:07:00 AM,167.4,24.8,14.0,Normal,144.0,11.9,7.0,62.1,55.5,136.8,,7.2,19.6,1780.0,51.0
184,October 22， 2020 at 7:26:15 AM,167.8,24.8,14.1,Normal,144.2,11.9,7.0,62.0,55.5,137.0,,7.2,19.6,1782.0,51.0
185,October 22， 2020 at 7:25:40 AM,167.8,24.8,14.1,Normal,144.2,11.9,7.0,62.0,55.5,137.0,,7.2,19.6,1782.0,51.0
186,October 20， 2020 at 7:25:43 AM,165.6,24.5,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.0,19.6,1768.0,51.0
187,October 19， 2020 at 7:10:11 AM,165.8,24.6,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1769.0,51.0
188,October 18， 2020 at 9:30:32 AM,165.4,24.5,13.8,Normal,142.6,11.7,7.0,62.2,55.7,135.4,,7.2,19.6,1767.0,51.0
189,October 18， 2020 at 9:12:30 AM,165.8,24.6,13.8,Normal,143.0,11.7,7.0,62.2,55.7,135.8,,7.2,19.6,1770.0,51.0
190,October 17， 2020 at 8:34:18 AM,164.6,24.4,13.7,Normal,142.0,11.7,7.0,62.3,55.7,135.0,,7.0,19.7,1761.0,51.0
191,October 15， 2020 at 7:07:44 AM,169.0,25.0,14.2,Normal,145.0,12.0,7.0,61.9,55.4,137.8,,7.2,19.5,1790.0,52.0
192,October 15， 2020 at 6:52:06 AM,169.8,25.1,14.3,Muscular,145.4,12.1,7.0,61.9,55.4,138.2,,7.2,19.5,1795.0,52.0
