Day,Time,Group,Metric,Unit,Amount
2021-02-02,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-02-04,,Misc,"Sleep (Oura)",hours,6.8
2021-02-04,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-02-10,,Misc,"Sleep (Oura)",hours,6.84167
2021-02-10,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-02-11,,Misc,"Sleep (Oura)",hours,5.24167
2021-02-11,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-02-16,,Misc,"Sleep (Oura)",hours,7.15833
2021-02-16,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-02-17,,Misc,"Sleep (Oura)",hours,6.46667
2021-02-17,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-02-18,,Misc,"Sleep (Oura)",hours,6.3
2021-02-18,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-02-19,,Misc,"Sleep (Oura)",hours,7.34167
2021-02-19,,Misc,"Heart Rate (Oura)",bpm,62.0
2021-02-20,,Misc,"Sleep (Oura)",hours,6.65833
2021-02-20,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-02-22,,Misc,"Sleep (Oura)",hours,7.19167
2021-02-22,,Misc,"Heart Rate (Oura)",bpm,62.0
2021-02-23,,Misc,"Sleep (Oura)",hours,7.09167
2021-02-23,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-02-24,,Misc,"Sleep (Oura)",hours,7.28333
2021-02-24,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-02-25,,Misc,"Sleep (Oura)",hours,7.5
2021-02-25,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-02-26,,Misc,"Sleep (Oura)",hours,6.54167
2021-02-26,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-02-27,,Misc,"Systolic Blood Pressure",mmHg,124.0
2021-02-27,,Misc,"Diastolic Blood Pressure",mmHg,85.0
2021-02-27,,Misc,"Sleep (Oura)",hours,7.55
2021-02-27,,Misc,"Heart Rate (Oura)",bpm,55.0
