Day,Time,Group,Metric,Unit,Amount
2020-08-25,7:47 AM,Misc,"Body Fat (Apple Health)",%,13.8816
2020-08-25,7:47 AM,Misc,"Weight (Apple Health)",lbs,166.008
2020-08-26,6:21 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-08-27,5:33 AM,Misc,"Heart Rate (Apple Health)",bpm,57.0
2020-08-28,5:30 AM,Misc,"Heart Rate (Apple Health)",bpm,51.0
2020-08-28,7:24 AM,Misc,"Body Fat (Apple Health)",%,13.898
2020-08-28,7:24 AM,Misc,"Weight (Apple Health)",lbs,166.339
2020-08-29,6:27 AM,Misc,"Heart Rate (Apple Health)",bpm,57.0
2020-08-29,8:08 AM,Misc,"Body Fat (Apple Health)",%,13.702
2020-08-29,8:08 AM,Misc,"Weight (Apple Health)",lbs,164.685
2020-08-30,6:48 AM,Misc,"Heart Rate (Apple Health)",bpm,58.0
2020-08-31,5:35 AM,Misc,"Heart Rate (Apple Health)",bpm,53.0
2020-09-01,5:32 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-09-01,7:14 AM,Misc,"Weight (Apple Health)",lbs,165.457
2020-09-01,7:14 AM,Misc,"Body Fat (Apple Health)",%,13.7973
2020-09-02,11:59 PM,Misc,"Heart Rate (Apple Health)",bpm,64.0
2020-09-03,5:34 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-09-04,7:34 AM,Misc,"Body Fat (Apple Health)",%,13.898
2020-09-04,7:34 AM,Misc,"Weight (Apple Health)",lbs,166.339
2020-09-04,11:40 PM,Misc,"Heart Rate (Apple Health)",bpm,71.0
2020-09-05,6:05 AM,Misc,"Heart Rate (Apple Health)",bpm,60.0
2020-09-06,6:55 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-09-07,6:17 AM,Misc,"Heart Rate (Apple Health)",bpm,61.0
2020-09-08,5:27 AM,Misc,"Heart Rate (Apple Health)",bpm,65.0
2020-09-08,7:12 AM,Misc,"Weight (Apple Health)",lbs,164.685
2020-09-08,7:12 AM,Misc,"Body Fat (Apple Health)",%,13.7306
2020-09-09,5:26 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-09-10,10:16 PM,Misc,"Heart Rate (Apple Health)",bpm,78.0
2020-09-11,5:23 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-09-11,7:17 AM,Misc,"Weight (Apple Health)",lbs,165.347
2020-09-11,7:17 AM,Misc,"Body Fat (Apple Health)",%,13.7918
2020-09-12,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-09-13,6:11 AM,Misc,"Heart Rate (Apple Health)",bpm,66.0
2020-09-14,5:42 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-09-14,7:16 AM,Misc,"Body Fat (Apple Health)",%,13.8313
2020-09-14,7:16 AM,Misc,"Weight (Apple Health)",lbs,165.567
2020-09-14,7:16 AM,Misc,"Body Fat (Apple Health)",%,13.8027
2020-09-14,7:16 AM,Misc,"Weight (Apple Health)",lbs,165.567
2020-09-15,11:59 PM,Misc,"Heart Rate (Apple Health)",bpm,58.0
2020-09-16,5:59 AM,Misc,"Heart Rate (Apple Health)",bpm,57.0
2020-09-17,7:31 AM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2020-09-18,5:23 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-09-19,6:50 AM,Misc,"Heart Rate (Apple Health)",bpm,61.0
2020-09-20,6:09 AM,Misc,"Heart Rate (Apple Health)",bpm,58.0
2020-09-20,7:41 AM,Misc,"Weight (Apple Health)",lbs,167.882
2020-09-20,7:41 AM,Misc,"Body Fat (Apple Health)",%,14.0884
2020-09-20,7:42 AM,Misc,"Weight (Apple Health)",lbs,164.465
2020-09-20,7:42 AM,Misc,"Body Fat (Apple Health)",%,13.6912
2020-09-20,7:43 AM,Misc,"Weight (Apple Health)",lbs,164.465
2020-09-20,7:43 AM,Misc,"Body Fat (Apple Health)",%,13.6912
2020-09-20,7:43 AM,Misc,"Weight (Apple Health)",lbs,164.465
2020-09-20,7:43 AM,Misc,"Body Fat (Apple Health)",%,13.6912
2020-09-20,7:44 AM,Misc,"Weight (Apple Health)",lbs,164.465
2020-09-20,7:44 AM,Misc,"Body Fat (Apple Health)",%,13.6912
2020-09-21,5:32 AM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2020-09-22,6:20 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-09-22,7:15 AM,Misc,"Weight (Apple Health)",lbs,167.221
2020-09-22,7:15 AM,Misc,"Body Fat (Apple Health)",%,13.9986
2020-09-22,7:16 AM,Misc,"Weight (Apple Health)",lbs,167.221
2020-09-22,7:16 AM,Misc,"Body Fat (Apple Health)",%,13.9986
2020-09-23,5:22 AM,Misc,"Heart Rate (Apple Health)",bpm,63.0
2020-09-23,7:01 AM,Misc,"Weight (Apple Health)",lbs,167.992
2020-09-23,7:01 AM,Misc,"Body Fat (Apple Health)",%,14.0939
2020-09-24,5:33 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-09-25,5:27 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-09-26,6:30 AM,Misc,"Heart Rate (Apple Health)",bpm,58.0
2020-09-27,6:39 AM,Misc,"Heart Rate (Apple Health)",bpm,57.0
2020-09-28,11:55 PM,Misc,"Heart Rate (Apple Health)",bpm,62.0
2020-09-29,5:40 AM,Misc,"Heart Rate (Apple Health)",bpm,57.0
2020-09-30,10:54 AM,Misc,"Heart Rate (Apple Health)",bpm,113.0
2020-10-01,5:41 AM,Misc,"Heart Rate (Apple Health)",bpm,63.0
2020-10-02,11:59 PM,Misc,"Heart Rate (Apple Health)",bpm,70.0
2020-10-03,6:29 AM,Misc,"Heart Rate (Apple Health)",bpm,60.0
2020-10-04,6:30 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-10-05,5:44 AM,Misc,"Heart Rate (Apple Health)",bpm,53.0
2020-10-06,4:59 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-10-07,5:38 AM,Misc,"Heart Rate (Apple Health)",bpm,52.0
2020-10-08,11:59 PM,Misc,"Heart Rate (Apple Health)",bpm,63.0
2020-10-09,7:35 AM,Misc,"Weight (Apple Health)",lbs,166.89
2020-10-09,7:35 AM,Misc,"Weight (Apple Health)",lbs,166.89
2020-10-09,7:35 AM,Misc,"Body Fat (Apple Health)",%,13.9823
2020-10-09,7:35 AM,Misc,"Body Fat (Apple Health)",%,13.9823
2020-10-09,11:58 PM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2020-10-10,8:18 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-10-11,8:09 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-10-12,5:47 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-10-13,5:45 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-10-14,6:41 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-10-15,6:01 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-10-15,6:52 AM,Misc,"Weight (Apple Health)",lbs,169.756
2020-10-15,6:52 AM,Misc,"Body Fat (Apple Health)",%,14.2952
2020-10-15,7:07 AM,Misc,"Weight (Apple Health)",lbs,169.095
2020-10-15,7:07 AM,Misc,"Body Fat (Apple Health)",%,14.234
2020-10-16,5:38 AM,Misc,"Heart Rate (Apple Health)",bpm,59.0
2020-10-17,7:18 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-10-17,8:34 AM,Misc,"Weight (Apple Health)",lbs,164.685
2020-10-17,8:34 AM,Misc,"Body Fat (Apple Health)",%,13.7306
2020-10-18,7:24 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-10-18,9:12 AM,Misc,"Weight (Apple Health)",lbs,165.898
2020-10-18,9:12 AM,Misc,"Body Fat (Apple Health)",%,13.8476
2020-10-18,9:30 AM,Misc,"Weight (Apple Health)",lbs,165.457
2020-10-18,9:30 AM,Misc,"Body Fat (Apple Health)",%,13.7973
2020-10-19,5:46 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-10-19,7:10 AM,Misc,"Weight (Apple Health)",lbs,165.788
2020-10-19,7:10 AM,Misc,"Body Fat (Apple Health)",%,13.8422
2020-10-19,7:15 AM,Misc,"Diastolic Blood Pressure (Apple Health)",mmHg,74.0
2020-10-19,7:15 AM,Misc,"Systolic Blood Pressure (Apple Health)",mmHg,114.0
2020-10-20,6:09 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-10-20,7:56 AM,Misc,"Weight (Apple Health)",lbs,165.6
2020-10-21,5:38 AM,Misc,"Heart Rate (Apple Health)",bpm,53.0
2020-10-22,5:32 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-10-22,7:25 AM,Misc,"Body Fat (Apple Health)",%,14.083
2020-10-22,7:25 AM,Misc,"Weight (Apple Health)",lbs,167.772
2020-10-22,7:26 AM,Misc,"Body Fat (Apple Health)",%,14.083
